Date,Price,Index
30/01/2012,"20,731.72",NGX ASI
31/01/2012,"20,875.83",NGX ASI
01/02/2012,"20,790.88",NGX ASI
02/02/2012,"20,822.00",NGX ASI
03/02/2012,"20,877.64",NGX ASI
07/02/2012,"20,790.88",NGX ASI
08/02/2012,"20,693.84",NGX ASI
09/02/2012,"20,631.38",NGX ASI
10/02/2012,"20,623.63",NGX ASI
13/02/2012,"20,583.61",NGX ASI
14/02/2012,"20,667.00",NGX ASI
15/02/2012,"20,329.62",NGX ASI
16/02/2012,"20,314.08",NGX ASI
17/02/2012,"20,411.17",NGX ASI
20/02/2012,"20,439.25",NGX ASI
21/02/2012,"20,492.31",NGX ASI
22/02/2012,"20,313.36",NGX ASI
23/02/2012,"20,426.21",NGX ASI
24/02/2012,"20,495.92",NGX ASI
27/02/2012,"20,364.55",NGX ASI
28/02/2012,"20,137.51",NGX ASI
29/02/2012,"20,123.51",NGX ASI
01/03/2012,"20,193.40",NGX ASI
02/03/2012,"20,592.01",NGX ASI
05/03/2012,"20,619.05",NGX ASI
06/03/2012,"20,926.31",NGX ASI
07/03/2012,"21,068.34",NGX ASI
08/03/2012,"21,181.41",NGX ASI
09/03/2012,"20,950.01",NGX ASI
12/03/2012,"21,091.36",NGX ASI
13/03/2012,"21,227.98",NGX ASI
14/03/2012,"21,072.93",NGX ASI
15/03/2012,"20,658.28",NGX ASI
16/03/2012,"20,824.25",NGX ASI
19/03/2012,"21,060.21",NGX ASI
20/03/2012,"21,006.30",NGX ASI
21/03/2012,"21,067.90",NGX ASI
22/03/2012,"21,261.29",NGX ASI
23/03/2012,"21,191.22",NGX ASI
26/03/2012,"21,000.15",NGX ASI
27/03/2012,"20,916.03",NGX ASI
28/03/2012,"20,899.97",NGX ASI
29/03/2012,"20,756.19",NGX ASI
30/03/2012,"20,652.47",NGX ASI
02/04/2012,"20,650.95",NGX ASI
03/04/2012,"20,849.95",NGX ASI
04/04/2012,"20,934.47",NGX ASI
05/04/2012,"20,941.93",NGX ASI
10/04/2012,"20,845.32",NGX ASI
11/04/2012,"20,814.35",NGX ASI
12/04/2012,"20,742.10",NGX ASI
13/04/2012,"20,743.16",NGX ASI
16/04/2012,"20,685.70",NGX ASI
17/04/2012,"20,788.83",NGX ASI
18/04/2012,"21,094.51",NGX ASI
19/04/2012,"21,388.88",NGX ASI
20/04/2012,"21,756.50",NGX ASI
23/04/2012,"21,779.33",NGX ASI
24/04/2012,"21,895.41",NGX ASI
25/04/2012,"21,970.21",NGX ASI
26/04/2012,"22,109.76",NGX ASI
27/04/2012,"22,109.76",NGX ASI
30/04/2012,"22,045.66",NGX ASI
02/05/2012,"22,351.00",NGX ASI
03/05/2012,"22,537.98",NGX ASI
04/05/2012,"22,665.99",NGX ASI
07/05/2012,"22,571.78",NGX ASI
08/05/2012,"22,656.76",NGX ASI
09/05/2012,"22,533.72",NGX ASI
10/05/2012,"22,511.30",NGX ASI
11/05/2012,"22,622.44",NGX ASI
14/05/2012,"22,552.46",NGX ASI
15/05/2012,"22,422.43",NGX ASI
16/05/2012,"22,524.67",NGX ASI
17/05/2012,"22,517.66",NGX ASI
18/05/2012,"22,381.11",NGX ASI
21/05/2012,"22,309.62",NGX ASI
22/05/2012,"22,342.13",NGX ASI
23/05/2012,"22,314.67",NGX ASI
24/05/2012,"22,218.44",NGX ASI
25/05/2012,"22,232.36",NGX ASI
28/05/2012,"22,180.02",NGX ASI
30/05/2012,"22,170.96",NGX ASI
31/05/2012,"22,066.40",NGX ASI
01/06/2012,"21,963.87",NGX ASI
04/06/2012,"21,785.37",NGX ASI
05/06/2012,"21,632.11",NGX ASI
06/06/2012,"21,383.61",NGX ASI
07/06/2012,"21,114.69",NGX ASI
08/06/2012,"20,902.95",NGX ASI
11/06/2012,"21,183.34",NGX ASI
12/06/2012,"21,239.52",NGX ASI
13/06/2012,"21,298.63",NGX ASI
14/06/2012,"21,251.91",NGX ASI
15/06/2012,"21,184.58",NGX ASI
18/06/2012,"21,028.39",NGX ASI
19/06/2012,"21,082.11",NGX ASI
20/06/2012,"21,510.71",NGX ASI
21/06/2012,"21,348.11",NGX ASI
22/06/2012,"21,394.77",NGX ASI
25/06/2012,"21,357.22",NGX ASI
26/06/2012,"21,347.17",NGX ASI
27/06/2012,"21,573.84",NGX ASI
28/06/2012,"21,542.24",NGX ASI
29/06/2012,"21,599.57",NGX ASI
02/07/2012,"21,571.67",NGX ASI
03/07/2012,"21,690.54",NGX ASI
04/07/2012,"21,930.90",NGX ASI
05/07/2012,"22,049.30",NGX ASI
06/07/2012,"22,110.91",NGX ASI
09/07/2012,"22,191.14",NGX ASI
10/07/2012,"22,120.47",NGX ASI
11/07/2012,"22,253.71",NGX ASI
12/07/2012,"22,492.96",NGX ASI
13/07/2012,"22,741.06",NGX ASI
16/07/2012,"22,978.14",NGX ASI
17/07/2012,"23,039.27",NGX ASI
18/07/2012,"23,277.30",NGX ASI
19/07/2012,"23,098.21",NGX ASI
20/07/2012,"23,095.31",NGX ASI
23/07/2012,"23,381.05",NGX ASI
24/07/2012,"23,169.24",NGX ASI
25/07/2012,"23,129.82",NGX ASI
26/07/2012,"23,116.61",NGX ASI
27/07/2012,"23,292.80",NGX ASI
30/07/2012,"23,302.22",NGX ASI
31/07/2012,"23,061.38",NGX ASI
01/08/2012,"23,329.34",NGX ASI
02/08/2012,"23,488.62",NGX ASI
03/08/2012,"23,523.16",NGX ASI
06/08/2012,"23,418.66",NGX ASI
07/08/2012,"23,391.79",NGX ASI
08/08/2012,"23,166.58",NGX ASI
09/08/2012,"23,178.87",NGX ASI
10/08/2012,"23,239.09",NGX ASI
13/08/2012,"23,273.56",NGX ASI
14/08/2012,"23,125.32",NGX ASI
15/08/2012,"23,105.05",NGX ASI
16/08/2012,"23,066.74",NGX ASI
17/08/2012,"23,141.08",NGX ASI
22/08/2012,"23,199.03",NGX ASI
23/08/2012,"23,186.73",NGX ASI
24/08/2012,"23,399.58",NGX ASI
27/08/2012,"23,491.17",NGX ASI
28/08/2012,"23,531.63",NGX ASI
29/08/2012,"23,670.11",NGX ASI
30/08/2012,"23,704.34",NGX ASI
31/08/2012,"23,750.82",NGX ASI
03/09/2012,"23,864.05",NGX ASI
04/09/2012,"24,012.57",NGX ASI
05/09/2012,"24,358.62",NGX ASI
06/09/2012,"24,563.22",NGX ASI
07/09/2012,"24,838.70",NGX ASI
10/09/2012,"24,671.47",NGX ASI
11/09/2012,"24,568.58",NGX ASI
12/09/2012,"24,839.87",NGX ASI
13/09/2012,"25,148.48",NGX ASI
14/09/2012,"25,337.18",NGX ASI
17/09/2012,"25,373.83",NGX ASI
18/09/2012,"25,456.01",NGX ASI
19/09/2012,"25,642.39",NGX ASI
20/09/2012,"25,875.31",NGX ASI
21/09/2012,"25,873.71",NGX ASI
24/09/2012,"25,839.00",NGX ASI
25/09/2012,"25,947.60",NGX ASI
26/09/2012,"25,774.53",NGX ASI
27/09/2012,"25,710.55",NGX ASI
28/09/2012,"26,011.64",NGX ASI
02/10/2012,"26,023.10",NGX ASI
03/10/2012,"26,448.61",NGX ASI
04/10/2012,"26,448.61",NGX ASI
05/10/2012,"26,442.67",NGX ASI
08/10/2012,"26,618.70",NGX ASI
09/10/2012,"26,840.87",NGX ASI
10/10/2012,"27,006.77",NGX ASI
11/10/2012,"27,371.30",NGX ASI
12/10/2012,"27,287.85",NGX ASI
15/10/2012,"27,077.66",NGX ASI
16/10/2012,"27,109.62",NGX ASI
17/10/2012,"27,194.13",NGX ASI
18/10/2012,"27,271.50",NGX ASI
19/10/2012,"27,296.36",NGX ASI
22/10/2012,"27,272.57",NGX ASI
23/10/2012,"27,217.27",NGX ASI
24/10/2012,"26,876.07",NGX ASI
29/10/2012,"26,982.55",NGX ASI
30/10/2012,"26,739.22",NGX ASI
31/10/2012,"26,430.92",NGX ASI
01/11/2012,"26,602.54",NGX ASI
02/11/2012,"26,559.55",NGX ASI
05/11/2012,"26,600.10",NGX ASI
06/11/2012,"26,724.02",NGX ASI
07/11/2012,"26,792.27",NGX ASI
08/11/2012,"26,883.76",NGX ASI
09/11/2012,"26,718.30",NGX ASI
12/11/2012,"26,609.34",NGX ASI
13/11/2012,"26,290.42",NGX ASI
14/11/2012,"26,346.70",NGX ASI
15/11/2012,"26,356.63",NGX ASI
16/11/2012,"26,400.94",NGX ASI
19/11/2012,"26,267.57",NGX ASI
20/11/2012,"26,358.73",NGX ASI
21/11/2012,"26,303.41",NGX ASI
22/11/2012,"26,269.61",NGX ASI
23/11/2012,"26,322.50",NGX ASI
26/11/2012,"26,363.99",NGX ASI
27/11/2012,"26,226.25",NGX ASI
28/11/2012,"26,342.85",NGX ASI
29/11/2012,"26,402.15",NGX ASI
30/11/2012,"26,495.10",NGX ASI
03/12/2012,"26,380.68",NGX ASI
04/12/2012,"26,382.54",NGX ASI
05/12/2012,"26,435.89",NGX ASI
06/12/2012,"26,546.20",NGX ASI
07/12/2012,"26,670.22",NGX ASI
10/12/2012,"26,822.09",NGX ASI
11/12/2012,"27,050.20",NGX ASI
12/12/2012,"27,516.07",NGX ASI
13/12/2012,"27,663.52",NGX ASI
14/12/2012,"27,685.54",NGX ASI
17/12/2012,"27,492.89",NGX ASI
18/12/2012,"27,437.76",NGX ASI
19/12/2012,"27,350.52",NGX ASI
20/12/2012,"27,508.09",NGX ASI
21/12/2012,"27,402.06",NGX ASI
24/12/2012,"27,347.08",NGX ASI
27/12/2012,"27,737.69",NGX ASI
28/12/2012,"27,866.55",NGX ASI
31/12/2012,"28,078.81",NGX ASI
02/01/2013,"28,501.21",NGX ASI
03/01/2013,"28,441.39",NGX ASI
04/01/2013,"28,463.30",NGX ASI
07/01/2013,"28,986.20",NGX ASI
08/01/2013,"29,089.52",NGX ASI
09/01/2013,"28,956.83",NGX ASI
10/01/2013,"28,695.59",NGX ASI
11/01/2013,"29,202.01",NGX ASI
14/01/2013,"29,309.70",NGX ASI
15/01/2013,"29,686.95",NGX ASI
16/01/2013,"30,093.83",NGX ASI
17/01/2013,"30,324.86",NGX ASI
18/01/2013,"30,927.18",NGX ASI
21/01/2013,"30,842.54",NGX ASI
22/01/2013,"30,983.83",NGX ASI
23/01/2013,"31,446.22",NGX ASI
